Created by Sam Guyette
Date and time of script execution: 2019-07-11 11:13:41

Condensed Table
*Free Shipping
,Website,SSCT3270SR,SSCT3270SP,SSCT5270SR,SSCT5270DR,SSCT7270SR,SSCT3170SR,SSCT5170SR,SSCT3470SR,SSCT5470SR,DDJT120,DDJT520_E,DDJT520_24,DDJT520_36,DDJT130,DDJT525_24,DDJT525_36,DDJT530,IIPF670,IIPF670E,
US,Spectraflow,,,,,,,,,,,,,,,,,,,,
US,Shades of Paper,,,,,,,,,,,,,,,,,,,,
US,ProImaging Supplies,,,,,,,,,,,,,,,,,,,,
US,All American,,,,,,,,,,,,,,,,,,,,
US,Buffalo,,,,,,,,,,,,,,,,,,,,
US,LexJet,,,,,,,,,,,,,,,,,,,,
US,Laube,,,,,,,,,,,,,,,,,,,,
US,Imaging Spectrum,,,,,,,,,,,,,,,,,,,,
US,ITSupplies,,,,,,,,,,,,,,,,,,,,
US,CDW,,,,,,,,,,,,,,,,,,,,
US,Zones,,,,,,,,,,,,,,,,,,,,
CA,Grand&Toy,,,,,,,,,,,,,,,,,,,,
US,shi,,,,,,,,,,,,,,,,,,,,
US,MacMall,,,,,,,,,,,,,,,,,,,,
US,Amazon,,,,,,,,,,,,,,,,,,,,
US,PC Connection,,,,,,,,,,,,,,,,,,,,
US,Plotter Pro,,,,,,,,,,,,,,,,,,,,
US,GoVets,,,,,,,,,,,,,,,,,,,,
US,Adorama,,,,,,,,,,,,,,,,,,,,
US,Tiger Direct,,,,,,,,,,,,,,,,,,,,
US,HP,,,,,,,,,,,,,,,,,,,,
US,PCNation,,,,,,,,,,,,,,,,,,,,
US,Overland Blueprint,,,,,,,,,,,,,,,,,,,,
US,Tartar Supply,,,,,,,,,,,,,,,,,,,,
CA,Vistek,,,,,,,,,,,,,,,,,,,,
US,Dell,,,,,,,,,,,,,,,,,,,,
US,BuyVPC,,,,,,,,,,,,,,,,,,,,
CA,Epson.ca,$2995.00 H ,$4195.00 H ,$4795.00 H ,$7195.00 H ,$5995.00 H ,$1165.00 H ,$2465.00 H ,$2465.00 H ,,,,,,,,,,,,
US,Epson,$1620.00 L ,$3495.00 H ,$1980.00 L ,$2860.00 L ,$6995.00 H ,$895.00,$1895.00,$1895.00,$2345.00 L ,,,,,,,,,,,
US,Walmart,,,,,,,,,,$649.00,$2495.00*,,,,,,,,$1192.99*,
US,B&H,$2545.00*,,$3195.00*,$4595.00,$5295.00 H *,$895.00*,$1895.00*,$1895.00,$2345.00 L ,$549.99*,,$1250.00*,$339.00,,,,,,,
US,NewEgg,,,,,,,,,,,,$1250*,,,,,,,$849*,
US,Staples,,,$3695.99 H ,,,$1101.49 H ,$2159.99 H ,,$2495.99 H ,,,,,,,,,,,





Super Table
Channel, Country, Website, Company, Category, Name, SKU, Price, Shipping
E-Commerce,US,Epson,Epson,Printer,Surecolor T7270 Single Roll Edition Printer ,SSCT7270SR, $4995.00, 
E-Commerce,US,NewEgg,HP,Printer,HP Designjet T120 24 Large-Format Inkjet Printer Essential Bundle ,DDJT120BUNDLE, $726,Free Shipping
E-Commerce,US,Epson,Epson,Printer,Surecolor T3270 Single Roll Edition Printer ,SSCT3270SR, $2995.00, 
E-Commerce,US,Epson,Epson,Printer,Surecolor T5470 Printer Printer ,SSCT5470SR, $2345.00, 
E-Commerce,US,NewEgg,HP,Printer,HP Designjet T520 2400 X 1200 Dpi Color Print Quality Wi-Fi Thermal Inkjet Designjet Color Inkjet Printer ,DDJT520_24, $1250,Free Shipping
E-Commerce,US,NewEgg,HP,Printer,HP Designjet T520 36 Large-Format Inkjet Printer 2 Pack Bundle ,DDJT520BUNDLE, $3949,Free Shipping
E-Commerce,US,NewEgg,HP,Printer,HP Designjet T120 24 Large-Format Inkjet Printer Office Bundle ,DDJT120BUNDLE, $740,Free Shipping
E-Commerce,US,NewEgg,HP,Printer,HP Designjet T120 24 Large-Format Inkjet Printer 2 Pack Bundle ,DDJT120BUNDLE, $1394,Free Shipping
E-Commerce,US,NewEgg,HP,Printer,HP Designjet T520 36 Large-Format Inkjet Printer Office Bundle ,DDJT520BUNDLE, $1996,Free Shipping
E-Commerce,US,NewEgg,HP,Printer,HP Designjet T520 36 Large-Format Inkjet Printer Essential Bundle ,DDJT520BUNDLE, $1999,Free Shipping
E-Commerce,US,Epson,Epson,Printer,Surecolor T7270 D Dual Roll Edition Refurbished Printer ,SSCT7270SR, $3560.00, 
E-Commerce,US,Epson,Epson,Printer,Surecolor T3270 Screen Print Edition Printer ,SSCT3270SP, $3495.00, 
E-Commerce,US,Walmart,HP,Printer,HP Designjet T120 24 Color Inkjet Wi-Fi Eprinter Bundle With 1 Year Extended Warranty Surge Protector ,DDJT120BUNDLE, Price Range$739To766,No_Data 
E-Commerce,US,Walmart,HP,Printer,HP Cq893 C#B1 K Designjet T520 Printer W HP Thermal Inkjet Print Technology ,DDJT520_E, $2495.00,Free Shipping
E-Commerce,CA,Epson.ca,Epson,Printer,Surecolor T3270 Single Roll Edition Printer ,SSCT3270SR, $2995.00, 
E-Commerce,US,B&H,Epson,Printer,24 Surecolor T3470 Large Format Printer ,SSCT3470SR, $1895.00,Shipping Charges Apply 
E-Commerce,US,Staples,Epson,Printer,Epson Surecolor T3170 Sr Usb Wireless Network Ready Color Inkjet Printer ,SSCT3170SR, $1101.49, 
E-Commerce,CA,Epson.ca,Epson,Printer,Surecolor T5170 Wireless Printer Printer ,SSCT5170SR, $2465.00, 
E-Commerce,US,B&H,Canon,Printer,Imageprograf IPF670 E 24 Large-Format Inkjet Printer ,CAIPF670E, $829.99,Free Shipping
